,Batch size,Search space size,Migrating clones F1,Migration graph F1
858,1024,3051757.8125,1.0,0.5
859,1024,3051757.8125,0.8571428571428572,0.7692307692307694
860,1024,3051757.8125,1.0,0.8
861,1024,3051757.8125,0.75,0.46153846153846145
862,1024,3051757.8125,1.0,0.9090909090909091
863,1024,3051757.8125,1.0,0.5
864,1024,3051757.8125,0.8571428571428572,0.7692307692307694
865,1024,3051757.8125,1.0,0.8
866,1024,3051757.8125,0.75,0.46153846153846145
867,1024,3051757.8125,1.0,0.9090909090909091
868,1024,3051757.8125,1.0,0.5
869,1024,3051757.8125,0.8571428571428572,0.7692307692307694
870,1024,3051757.8125,1.0,0.8
871,1024,3051757.8125,0.75,0.46153846153846145
872,1024,3051757.8125,1.0,0.9090909090909091
873,1024,3051757.8125,1.0,0.5
874,1024,3051757.8125,0.8571428571428572,0.7692307692307694
875,1024,13162170384226.713,1.0,0.9090909090909091
876,1024,13162170384226.713,1.0,0.8333333333333334
877,1024,13162170384226.713,1.0,0.8333333333333334
878,1024,13162170384226.713,1.0,0.8333333333333334
879,1024,13162170384226.713,1.0,0.9090909090909091
880,1024,976.5625,1.0,0.8888888888888888
881,1024,976.5625,1.0,0.7272727272727273
882,1024,976.5625,1.0,0.8888888888888888
883,1024,976.5625,1.0,0.7272727272727273
884,1024,976.5625,1.0,0.8888888888888888
885,1024,976.5625,1.0,0.7272727272727273
886,1024,976.5625,1.0,0.8888888888888888
887,1024,976.5625,1.0,0.7272727272727273
888,1024,976.5625,1.0,0.8888888888888888
889,1024,976.5625,1.0,0.7272727272727273
890,1024,24414.0625,1.0,1.0
891,1024,24414.0625,1.0,1.0
892,1024,24414.0625,0.5714285714285714,0.6666666666666666
893,1024,24414.0625,0.8571428571428572,0.8
894,1024,24414.0625,0.8571428571428572,0.7692307692307694
895,1024,24414.0625,1.0,0.9090909090909091
896,1024,24414.0625,0.75,0.5
897,1024,24414.0625,1.0,1.0
898,1024,24414.0625,1.0,1.0
899,1024,24414.0625,0.5714285714285714,0.6666666666666666
900,1024,24414.0625,0.8571428571428572,0.8
901,1024,24414.0625,0.8571428571428572,0.7692307692307694
902,1024,24414.0625,1.0,0.9090909090909091
903,1024,24414.0625,0.6666666666666666,0.5
904,1024,24414.0625,1.0,1.0
905,1024,24414.0625,1.0,1.0
906,1024,24414.0625,0.5714285714285714,0.7272727272727273
907,1024,24414.0625,0.8571428571428572,0.8
908,1024,24414.0625,0.8571428571428572,0.7692307692307694
909,1024,24414.0625,1.0,0.9090909090909091
910,1024,24414.0625,0.6666666666666666,0.5
911,1024,24414.0625,1.0,1.0
912,1024,24414.0625,1.0,1.0
913,1024,24414.0625,0.5714285714285714,0.6666666666666666
914,1024,24414.0625,0.8571428571428572,0.8
915,1024,24414.0625,0.8571428571428572,0.7692307692307694
916,1024,24414.0625,1.0,0.9090909090909091
917,1024,24414.0625,0.75,0.5
918,1024,24414.0625,1.0,1.0
919,1024,24414.0625,1.0,1.0
920,1024,24414.0625,0.5714285714285714,0.6666666666666666
